module,type,obj,line,column,endLine,endColumn,path,symbol,message,message-id
79,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/79.py,missing-module-docstring,Missing module docstring,C0114
79,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/79.py,invalid-name,"Module name ""79"" doesn't conform to snake_case naming style",C0103
79,convention,decimal_to_binary,1,0,1.0,21.0,sample_data/GPT_4_Simple_Prompt/Dataset/79.py,missing-function-docstring,Missing function or method docstring,C0116
31,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/31.py,missing-module-docstring,Missing module docstring,C0114
31,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/31.py,invalid-name,"Module name ""31"" doesn't conform to snake_case naming style",C0103
7,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/7.py,missing-module-docstring,Missing module docstring,C0114
7,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/7.py,invalid-name,"Module name ""7"" doesn't conform to snake_case naming style",C0103
102,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/102.py,missing-module-docstring,Missing module docstring,C0114
102,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/102.py,invalid-name,"Module name ""102"" doesn't conform to snake_case naming style",C0103
65,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/65.py,missing-module-docstring,Missing module docstring,C0114
65,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/65.py,invalid-name,"Module name ""65"" doesn't conform to snake_case naming style",C0103
65,refactor,circular_shift,12,4,16.0,38.0,sample_data/GPT_4_Simple_Prompt/Dataset/65.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
69,convention,,3,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/69.py,line-too-long,Line too long (105/100),C0301
69,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/69.py,missing-module-docstring,Missing module docstring,C0114
69,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/69.py,invalid-name,"Module name ""69"" doesn't conform to snake_case naming style",C0103
69,convention,search,12,4,12.0,35.0,sample_data/GPT_4_Simple_Prompt/Dataset/69.py,import-outside-toplevel,Import outside toplevel (collections.Counter),C0415
141,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/141.py,missing-module-docstring,Missing module docstring,C0114
141,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/141.py,invalid-name,"Module name ""141"" doesn't conform to snake_case naming style",C0103
141,convention,file_name_check,1,0,1.0,19.0,sample_data/GPT_4_Simple_Prompt/Dataset/141.py,missing-function-docstring,Missing function or method docstring,C0116
44,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/44.py,missing-module-docstring,Missing module docstring,C0114
44,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/44.py,invalid-name,"Module name ""44"" doesn't conform to snake_case naming style",C0103
107,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/107.py,missing-module-docstring,Missing module docstring,C0114
107,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/107.py,invalid-name,"Module name ""107"" doesn't conform to snake_case naming style",C0103
107,convention,even_odd_palindrome,1,0,1.0,23.0,sample_data/GPT_4_Simple_Prompt/Dataset/107.py,missing-function-docstring,Missing function or method docstring,C0116
81,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/81.py,missing-module-docstring,Missing module docstring,C0114
81,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/81.py,invalid-name,"Module name ""81"" doesn't conform to snake_case naming style",C0103
81,convention,numerical_letter_grade,1,0,1.0,26.0,sample_data/GPT_4_Simple_Prompt/Dataset/81.py,missing-function-docstring,Missing function or method docstring,C0116
81,refactor,numerical_letter_grade,1,0,1.0,26.0,sample_data/GPT_4_Simple_Prompt/Dataset/81.py,too-many-branches,Too many branches (14/12),R0912
103,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/103.py,missing-module-docstring,Missing module docstring,C0114
103,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/103.py,invalid-name,"Module name ""103"" doesn't conform to snake_case naming style",C0103
103,convention,rounded_avg,1,0,1.0,15.0,sample_data/GPT_4_Simple_Prompt/Dataset/103.py,missing-function-docstring,Missing function or method docstring,C0116
103,refactor,rounded_avg,2,4,6.0,23.0,sample_data/GPT_4_Simple_Prompt/Dataset/103.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
28,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/28.py,missing-module-docstring,Missing module docstring,C0114
28,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/28.py,invalid-name,"Module name ""28"" doesn't conform to snake_case naming style",C0103
28,convention,concatenate,1,0,1.0,15.0,sample_data/GPT_4_Simple_Prompt/Dataset/28.py,missing-function-docstring,Missing function or method docstring,C0116
28,error,concatenate,1,25,1.0,29.0,sample_data/GPT_4_Simple_Prompt/Dataset/28.py,undefined-variable,Undefined variable 'List',E0602
73,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/73.py,missing-module-docstring,Missing module docstring,C0114
73,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/73.py,invalid-name,"Module name ""73"" doesn't conform to snake_case naming style",C0103
73,convention,smallest_change,1,0,1.0,19.0,sample_data/GPT_4_Simple_Prompt/Dataset/73.py,missing-function-docstring,Missing function or method docstring,C0116
3,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/3.py,missing-module-docstring,Missing module docstring,C0114
3,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/3.py,invalid-name,"Module name ""3"" doesn't conform to snake_case naming style",C0103
3,convention,below_zero,1,0,1.0,14.0,sample_data/GPT_4_Simple_Prompt/Dataset/3.py,missing-function-docstring,Missing function or method docstring,C0116
3,error,below_zero,1,27,1.0,31.0,sample_data/GPT_4_Simple_Prompt/Dataset/3.py,undefined-variable,Undefined variable 'List',E0602
59,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/59.py,missing-module-docstring,Missing module docstring,C0114
59,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/59.py,invalid-name,"Module name ""59"" doesn't conform to snake_case naming style",C0103
136,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/136.py,missing-module-docstring,Missing module docstring,C0114
136,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/136.py,invalid-name,"Module name ""136"" doesn't conform to snake_case naming style",C0103
136,convention,largest_smallest_integers,1,0,1.0,29.0,sample_data/GPT_4_Simple_Prompt/Dataset/136.py,missing-function-docstring,Missing function or method docstring,C0116
140,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/140.py,missing-module-docstring,Missing module docstring,C0114
140,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/140.py,invalid-name,"Module name ""140"" doesn't conform to snake_case naming style",C0103
140,convention,fix_spaces,1,0,1.0,14.0,sample_data/GPT_4_Simple_Prompt/Dataset/140.py,missing-function-docstring,Missing function or method docstring,C0116
146,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/146.py,missing-module-docstring,Missing module docstring,C0114
146,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/146.py,invalid-name,"Module name ""146"" doesn't conform to snake_case naming style",C0103
146,convention,specialFilter,1,0,1.0,17.0,sample_data/GPT_4_Simple_Prompt/Dataset/146.py,missing-function-docstring,Missing function or method docstring,C0116
146,convention,specialFilter,1,0,1.0,17.0,sample_data/GPT_4_Simple_Prompt/Dataset/146.py,invalid-name,"Function name ""specialFilter"" doesn't conform to snake_case naming style",C0103
57,convention,,18,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/57.py,missing-final-newline,Final newline missing,C0304
57,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/57.py,missing-module-docstring,Missing module docstring,C0114
57,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/57.py,invalid-name,"Module name ""57"" doesn't conform to snake_case naming style",C0103
94,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/94.py,missing-module-docstring,Missing module docstring,C0114
94,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/94.py,invalid-name,"Module name ""94"" doesn't conform to snake_case naming style",C0103
94,convention,skjkasdkd,1,0,1.0,13.0,sample_data/GPT_4_Simple_Prompt/Dataset/94.py,missing-function-docstring,Missing function or method docstring,C0116
94,refactor,skjkasdkd,11,4,14.0,16.0,sample_data/GPT_4_Simple_Prompt/Dataset/94.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
94,refactor,skjkasdkd,12,15,12.0,66.0,sample_data/GPT_4_Simple_Prompt/Dataset/94.py,consider-using-generator,Consider using a generator instead 'sum(int(digit) for digit in str(max(prime_nums)))',R1728
34,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/34.py,missing-module-docstring,Missing module docstring,C0114
34,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/34.py,invalid-name,"Module name ""34"" doesn't conform to snake_case naming style",C0103
123,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/123.py,missing-module-docstring,Missing module docstring,C0114
123,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/123.py,invalid-name,"Module name ""123"" doesn't conform to snake_case naming style",C0103
123,convention,get_odd_collatz,1,0,1.0,19.0,sample_data/GPT_4_Simple_Prompt/Dataset/123.py,missing-function-docstring,Missing function or method docstring,C0116
11,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/11.py,missing-module-docstring,Missing module docstring,C0114
11,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/11.py,invalid-name,"Module name ""11"" doesn't conform to snake_case naming style",C0103
11,convention,string_xor,1,0,1.0,14.0,sample_data/GPT_4_Simple_Prompt/Dataset/11.py,missing-function-docstring,Missing function or method docstring,C0116
85,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/85.py,missing-module-docstring,Missing module docstring,C0114
85,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/85.py,invalid-name,"Module name ""85"" doesn't conform to snake_case naming style",C0103
64,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/64.py,missing-module-docstring,Missing module docstring,C0114
64,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/64.py,invalid-name,"Module name ""64"" doesn't conform to snake_case naming style",C0103
64,convention,vowels_count,1,0,1.0,16.0,sample_data/GPT_4_Simple_Prompt/Dataset/64.py,missing-function-docstring,Missing function or method docstring,C0116
91,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/91.py,missing-module-docstring,Missing module docstring,C0114
91,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/91.py,invalid-name,"Module name ""91"" doesn't conform to snake_case naming style",C0103
91,convention,is_bored,1,0,1.0,12.0,sample_data/GPT_4_Simple_Prompt/Dataset/91.py,missing-function-docstring,Missing function or method docstring,C0116
91,convention,is_bored,1,13,1.0,14.0,sample_data/GPT_4_Simple_Prompt/Dataset/91.py,invalid-name,"Argument name ""S"" doesn't conform to snake_case naming style",C0103
91,error,is_bored,2,50,2.0,52.0,sample_data/GPT_4_Simple_Prompt/Dataset/91.py,undefined-variable,Undefined variable 're',E0602
8,convention,,2,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/8.py,line-too-long,Line too long (117/100),C0301
8,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/8.py,missing-module-docstring,Missing module docstring,C0114
8,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/8.py,invalid-name,"Module name ""8"" doesn't conform to snake_case naming style",C0103
8,error,sum_product,1,25,1.0,29.0,sample_data/GPT_4_Simple_Prompt/Dataset/8.py,undefined-variable,Undefined variable 'List',E0602
8,error,sum_product,1,39,1.0,44.0,sample_data/GPT_4_Simple_Prompt/Dataset/8.py,undefined-variable,Undefined variable 'Tuple',E0602
8,refactor,sum_product,9,4,20.0,34.0,sample_data/GPT_4_Simple_Prompt/Dataset/8.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
98,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/98.py,missing-module-docstring,Missing module docstring,C0114
98,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/98.py,invalid-name,"Module name ""98"" doesn't conform to snake_case naming style",C0103
98,convention,count_upper,1,0,1.0,15.0,sample_data/GPT_4_Simple_Prompt/Dataset/98.py,missing-function-docstring,Missing function or method docstring,C0116
113,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/113.py,missing-module-docstring,Missing module docstring,C0114
113,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/113.py,invalid-name,"Module name ""113"" doesn't conform to snake_case naming style",C0103
113,convention,odd_count,1,0,1.0,13.0,sample_data/GPT_4_Simple_Prompt/Dataset/113.py,missing-function-docstring,Missing function or method docstring,C0116
113,warning,odd_count,4,8,4.0,17.0,sample_data/GPT_4_Simple_Prompt/Dataset/113.py,redefined-outer-name,Redefining name 'odd_count' from outer scope (line 1),W0621
113,warning,odd_count,3,8,3.0,9.0,sample_data/GPT_4_Simple_Prompt/Dataset/113.py,unused-variable,Unused variable 'i',W0612
155,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/155.py,missing-module-docstring,Missing module docstring,C0114
155,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/155.py,invalid-name,"Module name ""155"" doesn't conform to snake_case naming style",C0103
158,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/158.py,missing-module-docstring,Missing module docstring,C0114
158,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/158.py,invalid-name,"Module name ""158"" doesn't conform to snake_case naming style",C0103
158,convention,find_max,1,0,1.0,12.0,sample_data/GPT_4_Simple_Prompt/Dataset/158.py,missing-function-docstring,Missing function or method docstring,C0116
158,refactor,find_max,2,14,2.0,53.0,sample_data/GPT_4_Simple_Prompt/Dataset/158.py,consider-using-generator,Consider using a generator instead 'max(len(set(word)) for word in words)',R1728
139,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/139.py,missing-module-docstring,Missing module docstring,C0114
139,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/139.py,invalid-name,"Module name ""139"" doesn't conform to snake_case naming style",C0103
139,refactor,special_factorial.factorial,14,8,17.0,39.0,sample_data/GPT_4_Simple_Prompt/Dataset/139.py,no-else-return,"Unnecessary ""else"" after ""return"", remove the ""else"" and de-indent the code inside it",R1705
139,refactor,special_factorial.factorial,14,11,14.0,27.0,sample_data/GPT_4_Simple_Prompt/Dataset/139.py,consider-using-in,"Consider merging these comparisons with 'in' by using 'k in (0, 1)'. Use a set instead if elements are hashable.",R1714
156,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/156.py,missing-module-docstring,Missing module docstring,C0114
156,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/156.py,invalid-name,"Module name ""156"" doesn't conform to snake_case naming style",C0103
156,convention,int_to_mini_roman,1,0,1.0,21.0,sample_data/GPT_4_Simple_Prompt/Dataset/156.py,missing-function-docstring,Missing function or method docstring,C0116
86,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/86.py,missing-module-docstring,Missing module docstring,C0114
86,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/86.py,invalid-name,"Module name ""86"" doesn't conform to snake_case naming style",C0103
86,convention,anti_shuffle,1,0,1.0,16.0,sample_data/GPT_4_Simple_Prompt/Dataset/86.py,missing-function-docstring,Missing function or method docstring,C0116
124,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/124.py,missing-module-docstring,Missing module docstring,C0114
124,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/124.py,invalid-name,"Module name ""124"" doesn't conform to snake_case naming style",C0103
124,convention,valid_date,1,0,1.0,14.0,sample_data/GPT_4_Simple_Prompt/Dataset/124.py,missing-function-docstring,Missing function or method docstring,C0116
124,refactor,valid_date,1,0,1.0,14.0,sample_data/GPT_4_Simple_Prompt/Dataset/124.py,too-many-return-statements,Too many return statements (7/6),R0911
70,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/70.py,missing-module-docstring,Missing module docstring,C0114
70,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/70.py,invalid-name,"Module name ""70"" doesn't conform to snake_case naming style",C0103
105,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/105.py,missing-module-docstring,Missing module docstring,C0114
105,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/105.py,invalid-name,"Module name ""105"" doesn't conform to snake_case naming style",C0103
105,convention,by_length,1,0,1.0,13.0,sample_data/GPT_4_Simple_Prompt/Dataset/105.py,missing-function-docstring,Missing function or method docstring,C0116
105,refactor,by_length,4,38,4.0,54.0,sample_data/GPT_4_Simple_Prompt/Dataset/105.py,chained-comparison,Simplify chained comparison between the operands,R1716
137,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/137.py,missing-module-docstring,Missing module docstring,C0114
137,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/137.py,invalid-name,"Module name ""137"" doesn't conform to snake_case naming style",C0103
137,convention,compare_one,1,0,1.0,15.0,sample_data/GPT_4_Simple_Prompt/Dataset/137.py,missing-function-docstring,Missing function or method docstring,C0116
137,refactor,compare_one,6,4,11.0,19.0,sample_data/GPT_4_Simple_Prompt/Dataset/137.py,no-else-return,"Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif""",R1705
133,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/133.py,missing-module-docstring,Missing module docstring,C0114
133,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/133.py,invalid-name,"Module name ""133"" doesn't conform to snake_case naming style",C0103
133,convention,sum_squares,2,0,2.0,15.0,sample_data/GPT_4_Simple_Prompt/Dataset/133.py,missing-function-docstring,Missing function or method docstring,C0116
110,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/110.py,missing-module-docstring,Missing module docstring,C0114
110,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/110.py,invalid-name,"Module name ""110"" doesn't conform to snake_case naming style",C0103
110,convention,exchange,1,0,1.0,12.0,sample_data/GPT_4_Simple_Prompt/Dataset/110.py,missing-function-docstring,Missing function or method docstring,C0116
77,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/77.py,missing-module-docstring,Missing module docstring,C0114
77,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/77.py,invalid-name,"Module name ""77"" doesn't conform to snake_case naming style",C0103
77,convention,iscube,1,0,1.0,10.0,sample_data/GPT_4_Simple_Prompt/Dataset/77.py,missing-function-docstring,Missing function or method docstring,C0116
14,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/14.py,missing-module-docstring,Missing module docstring,C0114
14,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/14.py,invalid-name,"Module name ""14"" doesn't conform to snake_case naming style",C0103
97,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/97.py,missing-module-docstring,Missing module docstring,C0114
97,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/97.py,invalid-name,"Module name ""97"" doesn't conform to snake_case naming style",C0103
131,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/131.py,missing-module-docstring,Missing module docstring,C0114
131,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/131.py,invalid-name,"Module name ""131"" doesn't conform to snake_case naming style",C0103
55,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/55.py,missing-module-docstring,Missing module docstring,C0114
55,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/55.py,invalid-name,"Module name ""55"" doesn't conform to snake_case naming style",C0103
55,refactor,fib,11,4,21.0,16.0,sample_data/GPT_4_Simple_Prompt/Dataset/55.py,no-else-return,"Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif""",R1705
49,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/49.py,missing-module-docstring,Missing module docstring,C0114
49,convention,,1,0,,,sample_data/GPT_4_Simple_Prompt/Dataset/49.py,invalid-name,"Module name ""49"" doesn't conform to snake_case naming style",C0103
